product_id,checkout_url,stripe_price_id,stripe_payment_link_id
AA-PRM-GEN-IDEATION-BASE-001,https://buy.stripe.com/dRm4gz9z524o8lbepwaMU00,price_1T3p3UIl4zhF1Tnc19oYWfbf,plink_1T3p3UIl4zhF1Tnc5uyujpZG
AA-PRM-GEN-SYSTEMCHAIN-PRO-002,https://buy.stripe.com/8x2dR9h1x38sgRHa9gaMU01,price_1T3p3VIl4zhF1TncVF0vPpy9,plink_1T3p3VIl4zhF1TnctXkfCq1g
AA-PRM-MKT-CAMPAIGN-SUITE-003,https://buy.stripe.com/28E28rfXt24odFv818aMU02,price_1T3p3WIl4zhF1Tnc0OYJ2e8h,plink_1T3p3WIl4zhF1TncD1Uwur3b
AA-PRM-MKT-COPYTEST-PACK-004,https://buy.stripe.com/bJe4gz12z6kE6d34OWaMU03,price_1T3p3WIl4zhF1TnckmantFN5,plink_1T3p3XIl4zhF1TnchRl6prhk
AA-PRM-MKT-SEOCLUSTER-SUITE-005,https://buy.stripe.com/8x24gzdPlcJ2atj4OWaMU04,price_1T3p3XIl4zhF1TnceLfrbtMM,plink_1T3p3YIl4zhF1TncG9vWp9ec
AA-PRM-SUP-TICKETTRIAGE-PACK-006,https://buy.stripe.com/aFa5kD6mT9wQeJzdlsaMU05,price_1T3p3YIl4zhF1Tnc5kgCi4UV,plink_1T3p3YIl4zhF1TncKX6LBc2R
AA-PRM-SUP-KBWRITE-PACK-007,https://buy.stripe.com/cNi3cveTpeRabxnbdkaMU06,price_1T3p3ZIl4zhF1TncEwGmPdl5,plink_1T3p3ZIl4zhF1Tnct6BmLzax
AA-PRM-GEN-AGENTHANDOFF-CHAIN-008,https://buy.stripe.com/7sYaEXbHd6kE0SJ1CKaMU07,price_1T3p3aIl4zhF1TnckT7HyVN6,plink_1T3p3aIl4zhF1TncYjHxDplH
AA-PRM-TRD-MARKETTHESIS-PRO-009,https://buy.stripe.com/14AaEXaD95gA7h73KSaMU08,price_1T3p3aIl4zhF1TncefXEYEoo,plink_1T3p3bIl4zhF1Tncb54zcPSP
AA-PRM-TRD-EVENTSIGNAL-PRO-010,https://buy.stripe.com/5kQ8wP9z59wQbxn3KSaMU09,price_1T3p3bIl4zhF1TncjO6YFU4H,plink_1T3p3cIl4zhF1TncSmB0hppC
AA-PRM-TRD-TRADEPLAN-PRO-011,https://buy.stripe.com/fZucN56mT10k58Z818aMU0a,price_1T3p3cIl4zhF1TncH6OlFETN,plink_1T3p3dIl4zhF1Tnca4XkF5J5
AA-PRM-TRD-RISKJOURNAL-PRO-012,https://buy.stripe.com/7sY3cveTpdN6bxnchoaMU0b,price_1T3p3dIl4zhF1TncdpVnEWgM,plink_1T3p3dIl4zhF1TncdsSDa1TB
AA-SKL-GEN-TOOLROUTER-CORE-013,https://buy.stripe.com/00w14n6mTgZi7h7ftAaMU0c,price_1T3p3eIl4zhF1TncKFkJuQvp,plink_1T3p3eIl4zhF1Tnc9KF9pNT5
AA-SKL-GEN-IOVALIDATE-CORE-014,https://buy.stripe.com/eVq3cv5iP5gA30RftAaMU0d,price_1T3p3fIl4zhF1TncDMB1170H,plink_1T3p3fIl4zhF1TncTCKkn5c7
AA-SKL-GEN-ERRORRETRY-CORE-015,https://buy.stripe.com/dRm14n26DdN6gRHchoaMU0e,price_1T3p3fIl4zhF1Tnctxvjav22,plink_1T3p3gIl4zhF1TncxonR42Of
AA-SKL-MKT-CONTENTPIPE-PRO-016,https://buy.stripe.com/14A5kD12zcJ26d3818aMU0f,price_1T3p3gIl4zhF1TncwEqXpv5o,plink_1T3p3gIl4zhF1TncRC9l771p
AA-SKL-MKT-BRIEFSCORING-PRO-017,https://buy.stripe.com/8x2dR9bHd5gA30RftAaMU0g,price_1T3p3hIl4zhF1TncCcNpEJbc,plink_1T3p3hIl4zhF1TncyiObstmV
AA-SKL-SUP-SLAAUTOMATION-PRO-018,https://buy.stripe.com/eVq8wP5iP9wQ44VbdkaMU0h,price_1T3p3iIl4zhF1Tncb50Gldz3,plink_1T3p3iIl4zhF1Tncvw4IASld
AA-SKL-SUP-ESCALATIONFLOW-PRO-019,https://buy.stripe.com/8x23cvaD9cJ2bxna9gaMU0i,price_1T3p3iIl4zhF1TncGX54ZDy3,plink_1T3p3jIl4zhF1Tnc0kvmNC2l
AA-SKL-TRD-DATANORMALIZE-PRO-020,https://buy.stripe.com/28E4gzh1xcJ258Z1CKaMU0j,price_1T3p3jIl4zhF1TncAUjthw7O,plink_1T3p3jIl4zhF1TncPInqgvgA
AA-SKL-TRD-STRATEGYIO-PRO-021,https://buy.stripe.com/8x27sLaD94cw30Ra9gaMU0k,price_1T3p3kIl4zhF1TncBTOovnjB,plink_1T3p3kIl4zhF1TncMQ8P9ot1
AA-SKL-TRD-RISKCHECK-PRO-022,https://buy.stripe.com/bJeaEX7qXdN67h7a9gaMU0l,price_1T3p3lIl4zhF1Tnc36INOh7o,plink_1T3p3lIl4zhF1Tnc5vr56M56
AA-SKL-TRD-EXECADAPTER-PRO-023,https://buy.stripe.com/28EaEX9z5eRafNDdlsaMU0m,price_1T3p3lIl4zhF1Tnc0w5LXMtZ,plink_1T3p3mIl4zhF1TncfyvNbMTt
AA-AGT-MKT-CONTENTOPS-PRO-024,https://buy.stripe.com/eVq28raD9dN6dFv5T0aMU0n,price_1T3p3mIl4zhF1TncWK15sqyD,plink_1T3p3mIl4zhF1TncL2DOTCTC
AA-AGT-MKT-SEOAUTOPLAN-PRO-025,https://buy.stripe.com/8x24gz4eL10k1WNa9gaMU0o,price_1T3p3nIl4zhF1TncUelYOnte,plink_1T3p3nIl4zhF1Tncgn4ikkSc
AA-AGT-SUP-TICKETAUTOPILOT-PRO-026,https://buy.stripe.com/cNi5kD9z5bEYbxnepwaMU0p,price_1T3p3oIl4zhF1TncPFXYigSj,plink_1T3p3oIl4zhF1TncKhFbsq5k
AA-AGT-GEN-WORKFLOWORCH-PRO-027,https://buy.stripe.com/6oU00j26D38s1WN1CKaMU0q,price_1T3p3oIl4zhF1TncIbEZ6ARV,plink_1T3p3pIl4zhF1TncXOyxTzx0
AA-AGT-TRD-SIGNALENGINE-PRO-028,https://buy.stripe.com/aFaaEXh1x7oI0SJ3KSaMU0r,price_1T3p3pIl4zhF1Tnc6Fvmq8yE,plink_1T3p3pIl4zhF1TncuG94m8JN
AA-AGT-TRD-PAPERORCH-PRO-029,https://buy.stripe.com/8x2aEX7qX38sdFv5T0aMU0s,price_1T3p3qIl4zhF1TnclJ1wxFf5,plink_1T3p3qIl4zhF1TncIHwXmiHt
AA-AGT-TRD-LIVECOORD-PRO-030,https://buy.stripe.com/00w6oH8v18sM30RchoaMU0t,price_1T3p3rIl4zhF1Tnctl0NT98O,plink_1T3p3rIl4zhF1TncwYGe8fb9
AA-AGT-TRD-POSTTRADEANALYTICS-PRO-031,https://buy.stripe.com/4gMbJ14eL8sMdFva9gaMU0u,price_1T3p3rIl4zhF1Tnc1J4dHSkP,plink_1T3p3sIl4zhF1TncMLmjXYRm
AA-UTL-GEN-JSONSCHEMAPACK-CORE-032,https://buy.stripe.com/fZu5kD3aH9wQatjftAaMU0v,price_1T3p3sIl4zhF1Tnc8o2ocNZH,plink_1T3p3tIl4zhF1Tnc9bWFuyzF
AA-UTL-GEN-GUARDRAILSYAML-CORE-033,https://buy.stripe.com/4gM28raD9bEY30R1CKaMU0w,price_1T3p3tIl4zhF1TncqkqEnbds,plink_1T3p3tIl4zhF1TncxeHcjtGG
AA-UTL-GEN-MEMORYTEMPLATES-CORE-034,https://buy.stripe.com/28EbJ1h1x4cwdFvbdkaMU0x,price_1T3p3uIl4zhF1Tnc5oLESPQY,plink_1T3p3uIl4zhF1Tnc9IrlpyZn
AA-UTL-MKT-OPENAPIWRAPPER-CORE-035,https://buy.stripe.com/bJe7sLh1xfVebxna9gaMU0y,price_1T3p3vIl4zhF1TnckNV9FJQ4,plink_1T3p3vIl4zhF1TncDwCBz52g
AA-UTL-SUP-POLICYTEMPLATES-CORE-036,https://buy.stripe.com/cNi28r12zeRa8lb3KSaMU0z,price_1T3p3vIl4zhF1TncfiDUKmp4,plink_1T3p3wIl4zhF1TncjTM6N1Pt
AA-UTL-TRD-MARKETSCHEMAS-PRO-037,https://buy.stripe.com/bJefZhaD94cw6d36X4aMU0A,price_1T3p3wIl4zhF1Tnc6v46mI4V,plink_1T3p3xIl4zhF1TncO61OmYLa
AA-UTL-TRD-RISKPOLICYKIT-PRO-038,https://buy.stripe.com/9B65kD8v18sM44VftAaMU0B,price_1T3p3xIl4zhF1TncWhW2hkfE,plink_1T3p3xIl4zhF1TncZuCqU1PB
AA-DOC-GEN-AGENTCOOKBOOK-CORE-039,https://buy.stripe.com/6oU3cvdPl6kE9pf2GOaMU0C,price_1T3p3yIl4zhF1TncZoOzyL19,plink_1T3p3yIl4zhF1TncjcIx06PQ
AA-DOC-GEN-COMPATGUIDE-CORE-040,https://buy.stripe.com/5kQ5kD4eL38seJz3KSaMU0D,price_1T3p3yIl4zhF1TncVzO49TUd,plink_1T3p3zIl4zhF1TncRPP49DvW
AA-DOC-MKT-PLAYBOOK-CORE-041,https://buy.stripe.com/bJebJ14eLcJ2dFv0yGaMU0E,price_1T3p3zIl4zhF1TncOxbrAO6c,plink_1T3p40Il4zhF1Tncwp4jOEeE
AA-DOC-SUP-PLAYBOOK-CORE-042,https://buy.stripe.com/9B69AT7qXbEYcBrdlsaMU0F,price_1T3p40Il4zhF1TncO53rm4yF,plink_1T3p40Il4zhF1TncpBH2pTfW
AA-BND-GEN-STARTER-STD-043,https://buy.stripe.com/14A28reTpfVe0SJ6X4aMU0G,price_1T3p41Il4zhF1TncAI7CI7vM,plink_1T3p41Il4zhF1TncmJWMjvuL
AA-BND-GEN-BUILDERKIT-PRO-044,https://buy.stripe.com/4gM14ncLheRadFvchoaMU0H,price_1T3p42Il4zhF1TncuKmZx77U,plink_1T3p42Il4zhF1TnceoZLYSZT
AA-BND-MKT-VERTICAL-PRO-045,https://buy.stripe.com/3cI14n3aH5gA9pf5T0aMU0I,price_1T3p42Il4zhF1TncVRVXQu21,plink_1T3p43Il4zhF1TncUt3KTibY
AA-BND-SUP-VERTICAL-PRO-046,https://buy.stripe.com/28EeVd3aH5gAfNDa9gaMU0J,price_1T3p43Il4zhF1Tnc16Dt895D,plink_1T3p44Il4zhF1TncrYTZoYVG
AA-BND-TRD-PREDICTION-STD-047,https://buy.stripe.com/eVq14n4eLcJ244V6X4aMU0K,price_1T3p44Il4zhF1Tnc4WqR9kn3,plink_1T3p44Il4zhF1TncJKOA7wcC
AA-BND-TRD-SYSTEMS-PRO-048,https://buy.stripe.com/3cIfZh3aHbEY9pfa9gaMU0L,price_1T3p45Il4zhF1TnczD5QGEYB,plink_1T3p45Il4zhF1TncDgg8dWbk
AA-BND-GEN-PROSUITE-ELT-049,https://buy.stripe.com/00w6oH9z5eRadFv5T0aMU0M,price_1T3p46Il4zhF1TncbnjiiMc7,plink_1T3p46Il4zhF1Tncb2J9wG5M
AA-BND-GEN-ENTERPRISE-CST-050,https://buy.stripe.com/dRm6oHfXteRa6d30yGaMU0N,price_1T3p46Il4zhF1TncC0GXo9UM,plink_1T3p47Il4zhF1TncLxhBcRoB
